,year,ethnicity,age,population
4620,1971,Total Residents,0  -  4 Years,228200
4621,1971,Total Residents,5  -  9 Years,276700
4622,1971,Total Residents,10 - 14 Years,292200
4623,1971,Total Residents,15 - 19 Years,256000
4624,1971,Total Residents,20 - 24 Years,220100
4625,1971,Total Residents,25 - 29 Years,132400
4626,1971,Total Residents,30 - 34 Years,140300
4627,1971,Total Residents,35 - 39 Years,115700
4628,1971,Total Residents,40 - 44 Years,104800
4629,1971,Total Residents,45 - 49 Years,83400
4630,1971,Total Residents,50 - 54 Years,72700
4631,1971,Total Residents,55 - 59 Years,64900
4632,1971,Total Residents,60 - 64 Years,51800
4633,1971,Total Residents,65 - 69 Years,34400
4634,1971,Total Residents,70 - 74 Years,na
4635,1971,Total Residents,75 - 79 Years,na
4636,1971,Total Residents,80 - 84 Years,na
4637,1971,Total Residents,65 Years & Over,73700
4638,1971,Total Residents,70 Years & Over,39300
4639,1971,Total Residents,75 Years & Over,na
4640,1971,Total Residents,80 Years & Over,na
4641,1971,Total Residents,85 Years & Over,na
4642,1971,Total Male Residents,0  -  4 Years,117200
4643,1971,Total Male Residents,5  -  9 Years,141600
4644,1971,Total Male Residents,10 - 14 Years,150600
4645,1971,Total Male Residents,15 - 19 Years,131100
4646,1971,Total Male Residents,20 - 24 Years,111900
4647,1971,Total Male Residents,25 - 29 Years,66700
4648,1971,Total Male Residents,30 - 34 Years,70400
4649,1971,Total Male Residents,35 - 39 Years,59200
4650,1971,Total Male Residents,40 - 44 Years,55400
4651,1971,Total Male Residents,45 - 49 Years,44900
4652,1971,Total Male Residents,50 - 54 Years,38800
4653,1971,Total Male Residents,55 - 59 Years,33800
4654,1971,Total Male Residents,60 - 64 Years,26500
4655,1971,Total Male Residents,65 - 69 Years,16800
4656,1971,Total Male Residents,70 - 74 Years,na
4657,1971,Total Male Residents,75 - 79 Years,na
4658,1971,Total Male Residents,80 - 84 Years,na
4659,1971,Total Male Residents,65 Years & Over,33100
4660,1971,Total Male Residents,70 Years & Over,16300
4661,1971,Total Male Residents,75 Years & Over,na
4662,1971,Total Male Residents,80 Years & Over,na
4663,1971,Total Male Residents,85 Years & Over,na
4664,1971,Total Female Residents,0  -  4 Years,111000
4665,1971,Total Female Residents,5  -  9 Years,135100
4666,1971,Total Female Residents,10 - 14 Years,141600
4667,1971,Total Female Residents,15 - 19 Years,124900
4668,1971,Total Female Residents,20 - 24 Years,108200
4669,1971,Total Female Residents,25 - 29 Years,65700
4670,1971,Total Female Residents,30 - 34 Years,69900
4671,1971,Total Female Residents,35 - 39 Years,56500
4672,1971,Total Female Residents,40 - 44 Years,49400
4673,1971,Total Female Residents,45 - 49 Years,38500
4674,1971,Total Female Residents,50 - 54 Years,33900
4675,1971,Total Female Residents,55 - 59 Years,31100
4676,1971,Total Female Residents,60 - 64 Years,25300
4677,1971,Total Female Residents,65 - 69 Years,17600
4678,1971,Total Female Residents,70 - 74 Years,na
4679,1971,Total Female Residents,75 - 79 Years,na
4680,1971,Total Female Residents,80 - 84 Years,na
4681,1971,Total Female Residents,65 Years & Over,40600
4682,1971,Total Female Residents,70 Years & Over,23000
4683,1971,Total Female Residents,75 Years & Over,na
4684,1971,Total Female Residents,80 Years & Over,na
4685,1971,Total Female Residents,85 Years & Over,na
4686,1971,Total Malays,0  -  4 Years,41300
4687,1971,Total Malays,5  -  9 Years,52900
4688,1971,Total Malays,10 - 14 Years,48600
4689,1971,Total Malays,15 - 19 Years,38200
4690,1971,Total Malays,20 - 24 Years,29200
4691,1971,Total Malays,25 - 29 Years,16800
4692,1971,Total Malays,30 - 34 Years,18600
4693,1971,Total Malays,35 - 39 Years,16800
4694,1971,Total Malays,40 - 44 Years,15900
4695,1971,Total Malays,45 - 49 Years,12500
4696,1971,Total Malays,50 - 54 Years,9400
4697,1971,Total Malays,55 - 59 Years,6000
4698,1971,Total Malays,60 - 64 Years,4800
4699,1971,Total Malays,65 - 69 Years,2500
4700,1971,Total Malays,70 - 74 Years,na
4701,1971,Total Malays,75 - 79 Years,na
4702,1971,Total Malays,80 - 84 Years,na
4703,1971,Total Malays,65 Years & Over,5300
4704,1971,Total Malays,70 Years & Over,2800
4705,1971,Total Malays,75 Years & Over,na
4706,1971,Total Malays,80 Years & Over,na
4707,1971,Total Malays,85 Years & Over,na
4708,1971,Total Male Malays,0  -  4 Years,20800
4709,1971,Total Male Malays,5  -  9 Years,26900
4710,1971,Total Male Malays,10 - 14 Years,24700
4711,1971,Total Male Malays,15 - 19 Years,19300
4712,1971,Total Male Malays,20 - 24 Years,14500
4713,1971,Total Male Malays,25 - 29 Years,8100
4714,1971,Total Male Malays,30 - 34 Years,8800
4715,1971,Total Male Malays,35 - 39 Years,8000
4716,1971,Total Male Malays,40 - 44 Years,8600
4717,1971,Total Male Malays,45 - 49 Years,7200
4718,1971,Total Male Malays,50 - 54 Years,5500
4719,1971,Total Male Malays,55 - 59 Years,3400
4720,1971,Total Male Malays,60 - 64 Years,2600
4721,1971,Total Male Malays,65 - 69 Years,1400
4722,1971,Total Male Malays,70 - 74 Years,na
4723,1971,Total Male Malays,75 - 79 Years,na
4724,1971,Total Male Malays,80 - 84 Years,na
4725,1971,Total Male Malays,65 Years & Over,2900
4726,1971,Total Male Malays,70 Years & Over,1500
4727,1971,Total Male Malays,75 Years & Over,na
4728,1971,Total Male Malays,80 Years & Over,na
4729,1971,Total Male Malays,85 Years & Over,na
4730,1971,Total Female Malays,0  -  4 Years,20500
4731,1971,Total Female Malays,5  -  9 Years,26000
4732,1971,Total Female Malays,10 - 14 Years,23900
4733,1971,Total Female Malays,15 - 19 Years,18900
4734,1971,Total Female Malays,20 - 24 Years,14700
4735,1971,Total Female Malays,25 - 29 Years,8700
4736,1971,Total Female Malays,30 - 34 Years,9800
4737,1971,Total Female Malays,35 - 39 Years,8800
4738,1971,Total Female Malays,40 - 44 Years,7300
4739,1971,Total Female Malays,45 - 49 Years,5300
4740,1971,Total Female Malays,50 - 54 Years,3900
4741,1971,Total Female Malays,55 - 59 Years,2600
4742,1971,Total Female Malays,60 - 64 Years,2200
4743,1971,Total Female Malays,65 - 69 Years,1100
4744,1971,Total Female Malays,70 - 74 Years,na
4745,1971,Total Female Malays,75 - 79 Years,na
4746,1971,Total Female Malays,80 - 84 Years,na
4747,1971,Total Female Malays,65 Years & Over,2400
4748,1971,Total Female Malays,70 Years & Over,1300
4749,1971,Total Female Malays,75 Years & Over,na
4750,1971,Total Female Malays,80 Years & Over,na
4751,1971,Total Female Malays,85 Years & Over,na
4752,1971,Total Chinese,0  -  4 Years,167300
4753,1971,Total Chinese,5  -  9 Years,200700
4754,1971,Total Chinese,10 - 14 Years,220200
4755,1971,Total Chinese,15 - 19 Years,199200
4756,1971,Total Chinese,20 - 24 Years,174900
4757,1971,Total Chinese,25 - 29 Years,104800
4758,1971,Total Chinese,30 - 34 Years,109400
4759,1971,Total Chinese,35 - 39 Years,86600
4760,1971,Total Chinese,40 - 44 Years,75400
4761,1971,Total Chinese,45 - 49 Years,58500
4762,1971,Total Chinese,50 - 54 Years,53800
4763,1971,Total Chinese,55 - 59 Years,52700
4764,1971,Total Chinese,60 - 64 Years,43200
4765,1971,Total Chinese,65 - 69 Years,29900
4766,1971,Total Chinese,70 - 74 Years,na
4767,1971,Total Chinese,75 - 79 Years,na
4768,1971,Total Chinese,80 - 84 Years,na
4769,1971,Total Chinese,65 Years & Over,64400
4770,1971,Total Chinese,70 Years & Over,34500
4771,1971,Total Chinese,75 Years & Over,na
4772,1971,Total Chinese,80 Years & Over,na
4773,1971,Total Chinese,85 Years & Over,na
4774,1971,Total Male Chinese,0  -  4 Years,86400
4775,1971,Total Male Chinese,5  -  9 Years,103100
4776,1971,Total Male Chinese,10 - 14 Years,113700
4777,1971,Total Male Chinese,15 - 19 Years,102300
4778,1971,Total Male Chinese,20 - 24 Years,89300
4779,1971,Total Male Chinese,25 - 29 Years,52900
4780,1971,Total Male Chinese,30 - 34 Years,55100
4781,1971,Total Male Chinese,35 - 39 Years,43600
4782,1971,Total Male Chinese,40 - 44 Years,37200
4783,1971,Total Male Chinese,45 - 49 Years,28300
4784,1971,Total Male Chinese,50 - 54 Years,25900
4785,1971,Total Male Chinese,55 - 59 Years,25700
4786,1971,Total Male Chinese,60 - 64 Years,21000
4787,1971,Total Male Chinese,65 - 69 Years,14000
4788,1971,Total Male Chinese,70 - 74 Years,na
4789,1971,Total Male Chinese,75 - 79 Years,na
4790,1971,Total Male Chinese,80 - 84 Years,na
4791,1971,Total Male Chinese,65 Years & Over,27600
4792,1971,Total Male Chinese,70 Years & Over,13600
4793,1971,Total Male Chinese,75 Years & Over,na
4794,1971,Total Male Chinese,80 Years & Over,na
4795,1971,Total Male Chinese,85 Years & Over,na
4796,1971,Total Female Chinese,0  -  4 Years,80900
4797,1971,Total Female Chinese,5  -  9 Years,97600
4798,1971,Total Female Chinese,10 - 14 Years,106500
4799,1971,Total Female Chinese,15 - 19 Years,96900
4800,1971,Total Female Chinese,20 - 24 Years,85600
4801,1971,Total Female Chinese,25 - 29 Years,51900
4802,1971,Total Female Chinese,30 - 34 Years,54300
4803,1971,Total Female Chinese,35 - 39 Years,43000
4804,1971,Total Female Chinese,40 - 44 Years,38200
4805,1971,Total Female Chinese,45 - 49 Years,30200
4806,1971,Total Female Chinese,50 - 54 Years,27900
4807,1971,Total Female Chinese,55 - 59 Years,27000
4808,1971,Total Female Chinese,60 - 64 Years,22200
4809,1971,Total Female Chinese,65 - 69 Years,15900
4810,1971,Total Female Chinese,70 - 74 Years,na
4811,1971,Total Female Chinese,75 - 79 Years,na
4812,1971,Total Female Chinese,80 - 84 Years,na
4813,1971,Total Female Chinese,65 Years & Over,36800
4814,1971,Total Female Chinese,70 Years & Over,20900
4815,1971,Total Female Chinese,75 Years & Over,na
4816,1971,Total Female Chinese,80 Years & Over,na
4817,1971,Total Female Chinese,85 Years & Over,na
4818,1971,Total Indians,0  -  4 Years,15100
4819,1971,Total Indians,5  -  9 Years,18900
4820,1971,Total Indians,10 - 14 Years,19500
4821,1971,Total Indians,15 - 19 Years,15400
4822,1971,Total Indians,20 - 24 Years,12600
4823,1971,Total Indians,25 - 29 Years,7700
4824,1971,Total Indians,30 - 34 Years,8900
4825,1971,Total Indians,35 - 39 Years,9300
4826,1971,Total Indians,40 - 44 Years,10800
4827,1971,Total Indians,45 - 49 Years,10000
4828,1971,Total Indians,50 - 54 Years,7700
4829,1971,Total Indians,55 - 59 Years,4900
4830,1971,Total Indians,60 - 64 Years,2900
4831,1971,Total Indians,65 - 69 Years,1400
4832,1971,Total Indians,70 - 74 Years,na
4833,1971,Total Indians,75 - 79 Years,na
4834,1971,Total Indians,80 - 84 Years,na
4835,1971,Total Indians,65 Years & Over,2600
4836,1971,Total Indians,70 Years & Over,1200
4837,1971,Total Indians,75 Years & Over,na
4838,1971,Total Indians,80 Years & Over,na
4839,1971,Total Indians,85 Years & Over,na
4840,1971,Total Male Indians,0  -  4 Years,7700
4841,1971,Total Male Indians,5  -  9 Years,9500
4842,1971,Total Male Indians,10 - 14 Years,10200
4843,1971,Total Male Indians,15 - 19 Years,8000
4844,1971,Total Male Indians,20 - 24 Years,6500
4845,1971,Total Male Indians,25 - 29 Years,4200
4846,1971,Total Male Indians,30 - 34 Years,4800
4847,1971,Total Male Indians,35 - 39 Years,5900
4848,1971,Total Male Indians,40 - 44 Years,8100
4849,1971,Total Male Indians,45 - 49 Years,8000
4850,1971,Total Male Indians,50 - 54 Years,6300
4851,1971,Total Male Indians,55 - 59 Years,4000
4852,1971,Total Male Indians,60 - 64 Years,2400
4853,1971,Total Male Indians,65 - 69 Years,1100
4854,1971,Total Male Indians,70 - 74 Years,na
4855,1971,Total Male Indians,75 - 79 Years,na
4856,1971,Total Male Indians,80 - 84 Years,na
4857,1971,Total Male Indians,65 Years & Over,2000
4858,1971,Total Male Indians,70 Years & Over,900
4859,1971,Total Male Indians,75 Years & Over,na
4860,1971,Total Male Indians,80 Years & Over,na
4861,1971,Total Male Indians,85 Years & Over,na
4862,1971,Total Female Indians,0  -  4 Years,7400
4863,1971,Total Female Indians,5  -  9 Years,9400
4864,1971,Total Female Indians,10 - 14 Years,9300
4865,1971,Total Female Indians,15 - 19 Years,7400
4866,1971,Total Female Indians,20 - 24 Years,6100
4867,1971,Total Female Indians,25 - 29 Years,3500
4868,1971,Total Female Indians,30 - 34 Years,4100
4869,1971,Total Female Indians,35 - 39 Years,3400
4870,1971,Total Female Indians,40 - 44 Years,2700
4871,1971,Total Female Indians,45 - 49 Years,2000
4872,1971,Total Female Indians,50 - 54 Years,1400
4873,1971,Total Female Indians,55 - 59 Years,900
4874,1971,Total Female Indians,60 - 64 Years,500
4875,1971,Total Female Indians,65 - 69 Years,300
4876,1971,Total Female Indians,70 - 74 Years,na
4877,1971,Total Female Indians,75 - 79 Years,na
4878,1971,Total Female Indians,80 - 84 Years,na
4879,1971,Total Female Indians,65 Years & Over,600
4880,1971,Total Female Indians,70 Years & Over,300
4881,1971,Total Female Indians,75 Years & Over,na
4882,1971,Total Female Indians,80 Years & Over,na
4883,1971,Total Female Indians,85 Years & Over,na
4884,1971,Other Ethnic Groups (Total),0  -  4 Years,4500
4885,1971,Other Ethnic Groups (Total),5  -  9 Years,4200
4886,1971,Other Ethnic Groups (Total),10 - 14 Years,3900
4887,1971,Other Ethnic Groups (Total),15 - 19 Years,3200
4888,1971,Other Ethnic Groups (Total),20 - 24 Years,3400
4889,1971,Other Ethnic Groups (Total),25 - 29 Years,3100
4890,1971,Other Ethnic Groups (Total),30 - 34 Years,3400
4891,1971,Other Ethnic Groups (Total),35 - 39 Years,3000
4892,1971,Other Ethnic Groups (Total),40 - 44 Years,2700
4893,1971,Other Ethnic Groups (Total),45 - 49 Years,2400
4894,1971,Other Ethnic Groups (Total),50 - 54 Years,1800
4895,1971,Other Ethnic Groups (Total),55 - 59 Years,1300
4896,1971,Other Ethnic Groups (Total),60 - 64 Years,900
4897,1971,Other Ethnic Groups (Total),65 - 69 Years,600
4898,1971,Other Ethnic Groups (Total),70 - 74 Years,na
4899,1971,Other Ethnic Groups (Total),75 - 79 Years,na
4900,1971,Other Ethnic Groups (Total),80 - 84 Years,na
4901,1971,Other Ethnic Groups (Total),65 Years & Over,1400
4902,1971,Other Ethnic Groups (Total),70 Years & Over,800
4903,1971,Other Ethnic Groups (Total),75 Years & Over,na
4904,1971,Other Ethnic Groups (Total),80 Years & Over,na
4905,1971,Other Ethnic Groups (Total),85 Years & Over,na
4906,1971,Other Ethnic Groups (Males),0  -  4 Years,2300
4907,1971,Other Ethnic Groups (Males),5  -  9 Years,2100
4908,1971,Other Ethnic Groups (Males),10 - 14 Years,2000
4909,1971,Other Ethnic Groups (Males),15 - 19 Years,1500
4910,1971,Other Ethnic Groups (Males),20 - 24 Years,1600
4911,1971,Other Ethnic Groups (Males),25 - 29 Years,1500
4912,1971,Other Ethnic Groups (Males),30 - 34 Years,1700
4913,1971,Other Ethnic Groups (Males),35 - 39 Years,1700
4914,1971,Other Ethnic Groups (Males),40 - 44 Years,1500
4915,1971,Other Ethnic Groups (Males),45 - 49 Years,1400
4916,1971,Other Ethnic Groups (Males),50 - 54 Years,1100
4917,1971,Other Ethnic Groups (Males),55 - 59 Years,700
4918,1971,Other Ethnic Groups (Males),60 - 64 Years,500
4919,1971,Other Ethnic Groups (Males),65 - 69 Years,300
4920,1971,Other Ethnic Groups (Males),70 - 74 Years,na
4921,1971,Other Ethnic Groups (Males),75 - 79 Years,na
4922,1971,Other Ethnic Groups (Males),80 - 84 Years,na
4923,1971,Other Ethnic Groups (Males),65 Years & Over,600
4924,1971,Other Ethnic Groups (Males),70 Years & Over,300
4925,1971,Other Ethnic Groups (Males),75 Years & Over,na
4926,1971,Other Ethnic Groups (Males),80 Years & Over,na
4927,1971,Other Ethnic Groups (Males),85 Years & Over,na
4928,1971,Other Ethnic Groups (Females),0  -  4 Years,2200
4929,1971,Other Ethnic Groups (Females),5  -  9 Years,2100
4930,1971,Other Ethnic Groups (Females),10 - 14 Years,1900
4931,1971,Other Ethnic Groups (Females),15 - 19 Years,1700
4932,1971,Other Ethnic Groups (Females),20 - 24 Years,1800
4933,1971,Other Ethnic Groups (Females),25 - 29 Years,1600
4934,1971,Other Ethnic Groups (Females),30 - 34 Years,1700
4935,1971,Other Ethnic Groups (Females),35 - 39 Years,1300
4936,1971,Other Ethnic Groups (Females),40 - 44 Years,1200
4937,1971,Other Ethnic Groups (Females),45 - 49 Years,1000
4938,1971,Other Ethnic Groups (Females),50 - 54 Years,700
4939,1971,Other Ethnic Groups (Females),55 - 59 Years,600
4940,1971,Other Ethnic Groups (Females),60 - 64 Years,400
4941,1971,Other Ethnic Groups (Females),65 - 69 Years,300
4942,1971,Other Ethnic Groups (Females),70 - 74 Years,na
4943,1971,Other Ethnic Groups (Females),75 - 79 Years,na
4944,1971,Other Ethnic Groups (Females),80 - 84 Years,na
4945,1971,Other Ethnic Groups (Females),65 Years & Over,800
4946,1971,Other Ethnic Groups (Females),70 Years & Over,500
4947,1971,Other Ethnic Groups (Females),75 Years & Over,na
4948,1971,Other Ethnic Groups (Females),80 Years & Over,na
4949,1971,Other Ethnic Groups (Females),85 Years & Over,na
4950,1972,Total Residents,0  -  4 Years,226000
4951,1972,Total Residents,5  -  9 Years,269500
4952,1972,Total Residents,10 - 14 Years,292600
4953,1972,Total Residents,15 - 19 Years,268300
4954,1972,Total Residents,20 - 24 Years,225800
4955,1972,Total Residents,25 - 29 Years,148200
4956,1972,Total Residents,30 - 34 Years,142600
4957,1972,Total Residents,35 - 39 Years,118000
4958,1972,Total Residents,40 - 44 Years,106300
4959,1972,Total Residents,45 - 49 Years,85100
4960,1972,Total Residents,50 - 54 Years,73500
4961,1972,Total Residents,55 - 59 Years,63400
4962,1972,Total Residents,60 - 64 Years,54200
4963,1972,Total Residents,65 - 69 Years,36500
4964,1972,Total Residents,70 - 74 Years,na
4965,1972,Total Residents,75 - 79 Years,na
4966,1972,Total Residents,80 - 84 Years,na
4967,1972,Total Residents,65 Years & Over,78900
4968,1972,Total Residents,70 Years & Over,42400
4969,1972,Total Residents,75 Years & Over,na
4970,1972,Total Residents,80 Years & Over,na
4971,1972,Total Residents,85 Years & Over,na
4972,1972,Total Male Residents,0  -  4 Years,116700
4973,1972,Total Male Residents,5  -  9 Years,138000
4974,1972,Total Male Residents,10 - 14 Years,151100
4975,1972,Total Male Residents,15 - 19 Years,137500
4976,1972,Total Male Residents,20 - 24 Years,115200
4977,1972,Total Male Residents,25 - 29 Years,74800
4978,1972,Total Male Residents,30 - 34 Years,71300
4979,1972,Total Male Residents,35 - 39 Years,60300
4980,1972,Total Male Residents,40 - 44 Years,55900
4981,1972,Total Male Residents,45 - 49 Years,45700
4982,1972,Total Male Residents,50 - 54 Years,38900
4983,1972,Total Male Residents,55 - 59 Years,32600
4984,1972,Total Male Residents,60 - 64 Years,27800
4985,1972,Total Male Residents,65 - 69 Years,17900
4986,1972,Total Male Residents,70 - 74 Years,na
4987,1972,Total Male Residents,75 - 79 Years,na
4988,1972,Total Male Residents,80 - 84 Years,na
4989,1972,Total Male Residents,65 Years & Over,35300
4990,1972,Total Male Residents,70 Years & Over,17400
4991,1972,Total Male Residents,75 Years & Over,na
4992,1972,Total Male Residents,80 Years & Over,na
4993,1972,Total Male Residents,85 Years & Over,na
4994,1972,Total Female Residents,0  -  4 Years,109300
4995,1972,Total Female Residents,5  -  9 Years,131500
4996,1972,Total Female Residents,10 - 14 Years,141500
4997,1972,Total Female Residents,15 - 19 Years,130800
4998,1972,Total Female Residents,20 - 24 Years,110600
4999,1972,Total Female Residents,25 - 29 Years,73400
5000,1972,Total Female Residents,30 - 34 Years,71300
5001,1972,Total Female Residents,35 - 39 Years,57700
5002,1972,Total Female Residents,40 - 44 Years,50400
5003,1972,Total Female Residents,45 - 49 Years,39400
5004,1972,Total Female Residents,50 - 54 Years,34600
5005,1972,Total Female Residents,55 - 59 Years,30800
5006,1972,Total Female Residents,60 - 64 Years,26400
5007,1972,Total Female Residents,65 - 69 Years,18600
5008,1972,Total Female Residents,70 - 74 Years,na
5009,1972,Total Female Residents,75 - 79 Years,na
5010,1972,Total Female Residents,80 - 84 Years,na
5011,1972,Total Female Residents,65 Years & Over,43600
5012,1972,Total Female Residents,70 Years & Over,25000
5013,1972,Total Female Residents,75 Years & Over,na
5014,1972,Total Female Residents,80 Years & Over,na
5015,1972,Total Female Residents,85 Years & Over,na
5016,1972,Total Malays,0  -  4 Years,38400
5017,1972,Total Malays,5  -  9 Years,51700
5018,1972,Total Malays,10 - 14 Years,50500
5019,1972,Total Malays,15 - 19 Years,40500
5020,1972,Total Malays,20 - 24 Years,30000
5021,1972,Total Malays,25 - 29 Years,19300
5022,1972,Total Malays,30 - 34 Years,17900
5023,1972,Total Malays,35 - 39 Years,17500
5024,1972,Total Malays,40 - 44 Years,15500
5025,1972,Total Malays,45 - 49 Years,13100
5026,1972,Total Malays,50 - 54 Years,10000
5027,1972,Total Malays,55 - 59 Years,6100
5028,1972,Total Malays,60 - 64 Years,5000
5029,1972,Total Malays,65 - 69 Years,2700
5030,1972,Total Malays,70 - 74 Years,na
5031,1972,Total Malays,75 - 79 Years,na
5032,1972,Total Malays,80 - 84 Years,na
5033,1972,Total Malays,65 Years & Over,5700
5034,1972,Total Malays,70 Years & Over,3000
5035,1972,Total Malays,75 Years & Over,na
5036,1972,Total Malays,80 Years & Over,na
5037,1972,Total Malays,85 Years & Over,na
5038,1972,Total Male Malays,0  -  4 Years,19500
5039,1972,Total Male Malays,5  -  9 Years,26200
5040,1972,Total Male Malays,10 - 14 Years,25900
5041,1972,Total Male Malays,15 - 19 Years,20600
5042,1972,Total Male Malays,20 - 24 Years,14900
5043,1972,Total Male Malays,25 - 29 Years,9500
5044,1972,Total Male Malays,30 - 34 Years,8400
5045,1972,Total Male Malays,35 - 39 Years,8300
5046,1972,Total Male Malays,40 - 44 Years,8100
5047,1972,Total Male Malays,45 - 49 Years,7600
5048,1972,Total Male Malays,50 - 54 Years,5900
5049,1972,Total Male Malays,55 - 59 Years,3400
5050,1972,Total Male Malays,60 - 64 Years,2800
5051,1972,Total Male Malays,65 - 69 Years,1500
5052,1972,Total Male Malays,70 - 74 Years,na
5053,1972,Total Male Malays,75 - 79 Years,na
5054,1972,Total Male Malays,80 - 84 Years,na
5055,1972,Total Male Malays,65 Years & Over,3100
5056,1972,Total Male Malays,70 Years & Over,1600
5057,1972,Total Male Malays,75 Years & Over,na
5058,1972,Total Male Malays,80 Years & Over,na
5059,1972,Total Male Malays,85 Years & Over,na
5060,1972,Total Female Malays,0  -  4 Years,18900
5061,1972,Total Female Malays,5  -  9 Years,25500
5062,1972,Total Female Malays,10 - 14 Years,24600
5063,1972,Total Female Malays,15 - 19 Years,19900
5064,1972,Total Female Malays,20 - 24 Years,15100
5065,1972,Total Female Malays,25 - 29 Years,9800
5066,1972,Total Female Malays,30 - 34 Years,9500
5067,1972,Total Female Malays,35 - 39 Years,9200
5068,1972,Total Female Malays,40 - 44 Years,7400
5069,1972,Total Female Malays,45 - 49 Years,5500
5070,1972,Total Female Malays,50 - 54 Years,4100
5071,1972,Total Female Malays,55 - 59 Years,2700
5072,1972,Total Female Malays,60 - 64 Years,2200
5073,1972,Total Female Malays,65 - 69 Years,1200
5074,1972,Total Female Malays,70 - 74 Years,na
5075,1972,Total Female Malays,75 - 79 Years,na
5076,1972,Total Female Malays,80 - 84 Years,na
5077,1972,Total Female Malays,65 Years & Over,2600
5078,1972,Total Female Malays,70 Years & Over,1400
5079,1972,Total Female Malays,75 Years & Over,na
5080,1972,Total Female Malays,80 Years & Over,na
5081,1972,Total Female Malays,85 Years & Over,na
5082,1972,Total Chinese,0  -  4 Years,168300
5083,1972,Total Chinese,5  -  9 Years,195000
5084,1972,Total Chinese,10 - 14 Years,218400
5085,1972,Total Chinese,15 - 19 Years,208100
5086,1972,Total Chinese,20 - 24 Years,179300
5087,1972,Total Chinese,25 - 29 Years,117100
5088,1972,Total Chinese,30 - 34 Years,112200
5089,1972,Total Chinese,35 - 39 Years,88700
5090,1972,Total Chinese,40 - 44 Years,77500
5091,1972,Total Chinese,45 - 49 Years,59700
5092,1972,Total Chinese,50 - 54 Years,53700
5093,1972,Total Chinese,55 - 59 Years,51100
5094,1972,Total Chinese,60 - 64 Years,45300
5095,1972,Total Chinese,65 - 69 Years,31700
5096,1972,Total Chinese,70 - 74 Years,na
5097,1972,Total Chinese,75 - 79 Years,na
5098,1972,Total Chinese,80 - 84 Years,na
5099,1972,Total Chinese,65 Years & Over,69000
5100,1972,Total Chinese,70 Years & Over,37300
5101,1972,Total Chinese,75 Years & Over,na
5102,1972,Total Chinese,80 Years & Over,na
5103,1972,Total Chinese,85 Years & Over,na
5104,1972,Total Male Chinese,0  -  4 Years,87300
5105,1972,Total Male Chinese,5  -  9 Years,100300
5106,1972,Total Male Chinese,10 - 14 Years,112800
5107,1972,Total Male Chinese,15 - 19 Years,106800
5108,1972,Total Male Chinese,20 - 24 Years,91800
5109,1972,Total Male Chinese,25 - 29 Years,59100
5110,1972,Total Male Chinese,30 - 34 Years,56200
5111,1972,Total Male Chinese,35 - 39 Years,45100
5112,1972,Total Male Chinese,40 - 44 Years,38600
5113,1972,Total Male Chinese,45 - 49 Years,28900
5114,1972,Total Male Chinese,50 - 54 Years,25500
5115,1972,Total Male Chinese,55 - 59 Years,24500
5116,1972,Total Male Chinese,60 - 64 Years,22100
5117,1972,Total Male Chinese,65 - 69 Years,14900
5118,1972,Total Male Chinese,70 - 74 Years,na
5119,1972,Total Male Chinese,75 - 79 Years,na
5120,1972,Total Male Chinese,80 - 84 Years,na
5121,1972,Total Male Chinese,65 Years & Over,29400
5122,1972,Total Male Chinese,70 Years & Over,14500
5123,1972,Total Male Chinese,75 Years & Over,na
5124,1972,Total Male Chinese,80 Years & Over,na
5125,1972,Total Male Chinese,85 Years & Over,na
5126,1972,Total Female Chinese,0  -  4 Years,81000
5127,1972,Total Female Chinese,5  -  9 Years,94700
5128,1972,Total Female Chinese,10 - 14 Years,105600
5129,1972,Total Female Chinese,15 - 19 Years,101300
5130,1972,Total Female Chinese,20 - 24 Years,87500
5131,1972,Total Female Chinese,25 - 29 Years,58000
5132,1972,Total Female Chinese,30 - 34 Years,56000
5133,1972,Total Female Chinese,35 - 39 Years,43600
5134,1972,Total Female Chinese,40 - 44 Years,38900
5135,1972,Total Female Chinese,45 - 49 Years,30800
5136,1972,Total Female Chinese,50 - 54 Years,28200
5137,1972,Total Female Chinese,55 - 59 Years,26600
5138,1972,Total Female Chinese,60 - 64 Years,23200
5139,1972,Total Female Chinese,65 - 69 Years,16800
5140,1972,Total Female Chinese,70 - 74 Years,na
5141,1972,Total Female Chinese,75 - 79 Years,na
5142,1972,Total Female Chinese,80 - 84 Years,na
5143,1972,Total Female Chinese,65 Years & Over,39600
5144,1972,Total Female Chinese,70 Years & Over,22800
5145,1972,Total Female Chinese,75 Years & Over,na
5146,1972,Total Female Chinese,80 Years & Over,na
5147,1972,Total Female Chinese,85 Years & Over,na
5148,1972,Total Indians,0  -  4 Years,14600
5149,1972,Total Indians,5  -  9 Years,18500
5150,1972,Total Indians,10 - 14 Years,19800
5151,1972,Total Indians,15 - 19 Years,16300
5152,1972,Total Indians,20 - 24 Years,12900
5153,1972,Total Indians,25 - 29 Years,8300
5154,1972,Total Indians,30 - 34 Years,9100
5155,1972,Total Indians,35 - 39 Years,8600
5156,1972,Total Indians,40 - 44 Years,10600
5157,1972,Total Indians,45 - 49 Years,9900
5158,1972,Total Indians,50 - 54 Years,7900
5159,1972,Total Indians,55 - 59 Years,5000
5160,1972,Total Indians,60 - 64 Years,3000
